type,aid,timestamp,status,distance_m,azimuth_deg,elevation_deg,los
ios,1,12.715,,4.3868632316589355,-56,101,1
anchor,2,12.723,3,0.0,,,
ios,2,12.746,,3.75122332572937,0,141,0
anchor,3,12.754,3,0.0,,,
anchor,0,12.799,0,3.639,,,
ios,3,12.816,,3.8527350425720215,0,141,0
ios,0,12.816,,3.6361827850341797,-9,67,1
anchor,1,12.878,0,4.371,,,
ios,1,12.882,,4.372368812561035,-56,101,0
anchor,3,12.907,5,0.0,,,
anchor,2,12.913,2,0.0,,,
anchor,0,12.997,0,3.724,,,
ios,0,13.021,,3.7222230434417725,-40,67,1
anchor,1,13.057,0,4.404,,,
ios,1,13.064,,4.3898491859436035,-56,101,0
anchor,3,13.078,3,0.0,,,
anchor,2,13.121,0,3.691,,,
ios,3,13.142,,3.845264196395874,0,141,0
ios,2,13.142,,3.7028894424438477,0,141,0
anchor,0,13.195,0,3.85,,,
ios,0,13.212,,3.800490140914917,-40,67,0
anchor,1,13.228,5,0.0,,,
anchor,3,13.23,2,0.0,,,
anchor,2,13.318,0,3.574,,,
ios,2,13.329,,3.613957643508911,0,141,0
anchor,3,13.393,2,0.0,,,
anchor,0,13.393,2,0.0,,,
anchor,1,13.417,0,4.54,,,
ios,1,13.428,,4.498976230621338,-56,101,0
anchor,2,13.516,0,3.527,,,
ios,2,13.532,,3.524360179901123,74,20,1
anchor,3,13.555,2,0.0,,,
anchor,1,13.589,2,0.0,,,
anchor,0,13.591,0,3.86,,,
ios,0,13.604,,3.844780683517456,-40,67,0
anchor,2,13.714,3,0.0,,,
anchor,3,13.718,2,0.0,,,
anchor,1,13.777,0,4.629,,,
anchor,0,13.78,2,0.0,,,
ios,1,13.781,,4.59223747253418,-56,101,0
anchor,3,13.888,0,4.047,,,
ios,3,13.897,,4.013615131378174,0,141,0
anchor,2,13.912,0,3.362,,,
ios,2,13.958,,3.3600738048553467,40,51,1
anchor,1,13.958,0,4.723,,,
ios,1,13.963,,4.676095962524414,-56,101,0
anchor,0,13.987,3,0.0,,,
ios,0,13.992,,3.831315517425537,-40,67,0
anchor,3,14.05,0,3.996,,,
ios,3,14.069,,4.00132417678833,0,141,0
anchor,2,14.109,0,3.236,,,
ios,2,14.126,,3.2347605228424072,25,85,1
anchor,1,14.137,0,4.756,,,
anchor,0,14.185,0,3.972,,,
anchor,3,14.213,0,3.958,,,
anchor,1,14.309,2,0.0,,,
anchor,2,14.309,0,3.231,,,
anchor,3,14.375,0,3.907,,,
anchor,0,14.375,5,0.0,,,
ios,1,14.446,,4.725825309753418,-56,101,0
ios,0,14.446,,3.9246912002563477,-40,67,0
ios,3,14.446,,3.973804235458374,0,141,0
ios,2,14.446,,3.22786545753479,6,92,1
ios,3,14.446,,3.930779218673706,0,141,0
anchor,2,14.496,5,0.0,,,
anchor,1,14.497,0,6.425,,,
anchor,3,14.536,0,3.855,,,
ios,3,14.546,,3.8811938762664795,0,141,0
anchor,0,14.581,0,4.033,,,
ios,0,14.608,,4.003520488739014,-40,67,0
anchor,1,14.678,0,8.001,,,
anchor,3,14.689,5,0.0,,,
anchor,2,14.704,0,3.198,,,
ios,2,14.722,,3.2091588973999023,6,92,0
anchor,0,14.779,0,4.127,,,
ios,0,14.788,,4.083350658416748,-40,67,0
anchor,1,14.848,5,0.0,,,
anchor,3,14.86,0,3.752,,,
ios,3,14.869,,3.787153959274292,0,141,0
anchor,2,14.902,0,3.194,,,
ios,2,14.954,,3.197255849838257,6,92,0
anchor,0,14.977,0,4.193,,,
ios,0,15.017,,4.152026176452637,-40,67,0
anchor,3,15.023,7,0.0,,,
anchor,1,15.037,0,6.411,,,
anchor,2,15.101,0,3.189,,,
ios,2,15.115,,3.18589448928833,25,-68,1
anchor,0,15.175,3,0.0,,,
anchor,3,15.184,0,3.606,,,
ios,3,15.2,,3.606203556060791,53,38,1
anchor,1,15.217,0,4.784,,,
ios,1,15.261,,4.771862506866455,-56,101,0
anchor,2,15.298,0,3.311,,,
ios,2,15.344,,3.267479658126831,25,-68,0
anchor,3,15.347,0,3.55,,,
anchor,0,15.373,0,9.629,,,
anchor,1,15.397,0,4.751,,,
ios,3,15.423,,3.548943042755127,47,66,1
ios,1,15.423,,4.755814075469971,-56,101,0
anchor,2,15.496,0,3.358,,,
anchor,3,15.498,2,0.0,,,
ios,2,15.518,,3.3249166011810303,25,-68,0
anchor,1,15.568,2,0.0,,,
anchor,0,15.571,0,9.221,,,
anchor,3,15.67,0,3.423,,,
anchor,2,15.694,0,3.405,,,
ios,3,15.755,,3.420032262802124,35,83,1
ios,2,15.756,,3.3757646083831787,25,-68,0
anchor,1,15.757,0,4.671,,,
anchor,0,15.76,2,0.0,,,
anchor,3,15.833,0,3.372,,,
ios,1,15.846,,4.6895751953125,-56,101,0
ios,3,15.846,,3.370266914367676,18,91,1
anchor,2,15.892,0,3.438,,,
ios,2,15.912,,3.414529323577881,25,-68,0
anchor,1,15.938,0,4.568,,,
ios,1,15.952,,4.609152317047119,-56,101,0
anchor,0,15.967,0,4.357,,,
anchor,3,15.995,0,3.344,,,
ios,0,16.008,,4.329717636108398,-40,67,0
ios,3,16.074,,3.365895986557007,18,91,0
anchor,2,16.091,0,3.456,,,
ios,2,16.098,,3.441859483718872,25,-68,0
anchor,1,16.117,0,4.502,,,
ios,1,16.156,,4.53885555267334,-56,101,0
anchor,0,16.156,5,0.0,,,
anchor,3,16.157,0,3.32,,,
ios,3,16.241,,3.3366143703460693,18,91,0
anchor,1,16.288,2,0.0,,,
anchor,2,16.288,0,3.475,,,
anchor,3,16.319,0,3.358,,,
ios,2,16.319,,3.4611165523529053,25,-68,0
anchor,0,16.364,0,4.268,,,
ios,3,16.41,,3.348374843597412,18,91,0
ios,0,16.41,,4.2793073654174805,-40,67,0
anchor,1,16.468,5,0.0,,,
anchor,3,16.471,5,0.0,,,
anchor,2,16.477,2,0.0,,,
anchor,0,16.561,0,4.202,,,
ios,0,16.574,,4.225230693817139,-40,67,0
anchor,3,16.642,0,3.395,,,
anchor,1,16.648,2,0.0,,,
ios,3,16.67,,3.381664991378784,18,91,0
anchor,2,16.684,0,3.616,,,
ios,2,16.73,,3.5756099224090576,25,-68,0
anchor,0,16.759,0,4.136,,,
anchor,3,16.804,0,3.452,,,
ios,0,16.81,,4.163922309875488,-40,67,0
ios,3,16.813,,3.4246699810028076,18,91,0
anchor,1,16.838,0,4.24,,,
ios,1,16.842,,4.287642478942871,-56,101,0
anchor,2,16.882,0,4.634,,,
anchor,3,16.957,5,0.0,,,
anchor,0,16.957,0,4.075,,,
ios,0,16.971,,4.103039741516113,-40,67,0
anchor,1,17.017,0,4.216,,,
ios,1,17.053,,4.238783836364746,-56,101,0
anchor,2,17.08,0,7.434,,,
anchor,3,17.129,0,3.611,,,
ios,3,17.148,,3.5574722290039062,18,91,0
anchor,0,17.155,0,4.0,,,
anchor,1,17.198,0,4.188,,,
ios,0,17.215,,3.9971327781677246,69,52,1
ios,1,17.215,,4.203207969665527,-56,101,0
anchor,2,17.278,3,0.0,,,
anchor,3,17.281,2,0.0,,,
anchor,0,17.354,0,3.874,,,
ios,0,17.367,,3.871819496154785,43,67,1
anchor,1,17.377,0,4.174,,,
ios,1,17.383,,4.183799743652344,-56,101,0
anchor,3,17.451,3,0.0,,,
ios,3,17.459,,3.707334280014038,18,91,0
anchor,2,17.476,3,0.0,,,
ios,2,17.542,,3.7779157161712646,25,-68,0
anchor,1,17.548,2,0.0,,,
anchor,0,17.551,0,3.752,,,
ios,0,17.567,,3.7489047050476074,25,72,1
anchor,3,17.614,3,0.0,,,
ios,3,17.621,,3.7330033779144287,18,91,0
anchor,2,17.674,3,0.0,,,
ios,2,17.696,,3.786273956298828,25,-68,0
anchor,1,17.737,0,4.296,,,
anchor,0,17.739,2,0.0,,,
ios,1,17.752,,4.294527053833008,-50,101,1
anchor,3,17.776,3,0.0,,,
ios,3,17.785,,3.712299346923828,18,91,0
anchor,2,17.872,0,3.827,,,
ios,2,17.877,,3.8101677894592285,25,-68,0
anchor,1,17.918,0,4.347,,,
anchor,3,17.929,2,0.0,,,
anchor,0,17.947,0,3.681,,,
ios,1,17.958,,4.3448920249938965,-80,123,1
ios,0,18.029,,3.6772541999816895,-11,80,1
anchor,2,18.07,0,3.742,,,
