timestamp,x,y,target_heading
0.121,836.8781374152206,232.31935782393717,
0.156,836.910451121895,232.3106877084474,
0.17,836.9267945852181,232.30836965617277,
0.181,836.9295585553409,232.31127356459265,
0.192,836.9212482910393,232.31826639895252,
0.206,836.9043549764708,232.32826081680702,
0.219,836.8812526381806,232.34025245048605,
0.229,836.8541199957256,232.3533464597862,
0.24,836.8248857327534,232.36677430384484,
0.25,836.7951949757953,232.37990191245754,
0.26,836.7663942973785,232.39223057361116,
0.268,836.7395322940637,232.40339190826933,
0.278,836.7153727004123,232.4131382890695,
0.288,836.6944170563897,232.42132999045143,
0.298,836.6769341176936,232.42792024736463,
0.309,836.6629934563476,232.43293926074827,
0.319,836.6525010150912,232.43647803186283,
0.329,836.6452347289456,232.4386727442199,
0.339,836.6408786895074,232.4396902496272,
0.349,836.6390546842731,232.43971506040762,
0.36,836.63935028056,232.4389381082113,
0.369,836.6413429308282,232.4375474045485,
0.381,836.6446198461972,232.43572063137893,
0.409,836.6487936134627,232.4336196027523,
0.45,836.6535137162621,232.43138647054835,
0.466,836.6584742637255,232.4291414979442,
0.481,836.6634183321609,232.42698219185158,
0.497,836.668139390568,232.42498356830316,
0.512,836.6724803134239,232.42319932042443,
0.527,836.676330489169,232.421663664898,
0.541,836.6796215152682,232.42039365738873,
0.556,836.6823219357508,232.41939178802986,
0.571,836.6844314295782,232.41864869272462,
0.585,836.6859748025148,232.41814584287013,
0.599,836.6869960753089,232.4178581035966,
0.614,836.6875529002847,232.4177560774469,
0.628,836.6877114796291,232.41780817558896,
0.642,836.6875421038712,232.41798238140694,
0.656,836.6871153798321,232.41824769116536,
0.674,836.6864991746834,232.41857523309474,
0.69,836.6857562672297,232.41893907962702,
0.705,836.6849426692536,232.4193167776744,
0.72,836.6841065585302,232.41968962899026,
0.734,836.6832877504692,232.42004275705403,
0.748,836.6825176266233,232.4203649989286,
0.764,836.6818194347367,232.4206486605265,
0.78,836.6812088757536,232.42088917208122,
0.794,836.6806948973901,232.4210846777359,
0.808,836.6802806206642,232.4212355893979,
0.822,836.6799643343696,232.42134413069257,
0.836,836.6797405021769,232.42141389227342,
0.851,836.6796007372025,232.42144941515312,
0.865,836.6795347090041,232.42145581430879,
0.88,836.6795309576005,232.42143845073636,
0.908,836.679577597971,232.42140265649417,
0.923,,,125.31854867182692
0.937,836.6796629063375,232.42135351414893,
0.952,,,197.07304323078955
0.966,836.679775786222,232.42129568945788,
0.98,,,166.32809232484826
0.994,836.6799061177664,232.42123331408763,
1.009,,,179.4977715489486
1.023,836.680044998074,232.4211699136674,
1.037,,,173.85992262866836
1.051,836.6801848834536,232.4211083754604,
1.066,,,176.27004897015942
1.082,836.680319646508,232.42105094936264,
1.097,,,175.24283530718037
1.112,836.6804445621106,232.4209992757416,
1.127,,,175.6775569013889
1.142,836.6805562366199,232.42095443374288,
1.158,,,175.49640766284114
1.173,836.6806524943113,232.42091700405808,
1.193,,,175.56906185744234
1.209,836.6807322341164,232.4208871406946,
1.224,,,175.54260164260637
1.239,836.6807952684885,232.42086464696257,
1.255,,,175.54944392906802
1.27,836.6808421546858,232.42084905164057,
1.285,,,175.550753190296
1.299,836.6808740270938,232.42083968205483,
1.314,,,175.54613177616864
1.328,836.6808924374978,232.42083573156972,
1.342,,,175.5519591850084
1.356,836.6808992085439,232.42083631970732,
1.371,,,175.5457959416285
1.385,836.6808963040498,232.42084054377244,
1.399,,,175.55192505199645
1.413,836.6808857184121,232.42084752143546,
1.428,,,175.54598738411093
1.442,836.6808693861021,232.4208564242163,
1.456,,,175.55169267452803
1.47,836.6808491112085,232.42086650220884,
1.484,,,175.5462554779158
1.498,836.6808265161353,232.42087710069092,
1.512,,,175.55144808624615
1.527,836.6808030079269,232.4208876694852,
1.541,,,175.54651706440316
1.556,836.6807797602405,232.4208977660755,
1.57,,,175.5512211066022
1.584,836.6807577087037,232.42090705355406,
1.598,,,175.54675708418395
1.612,836.6807375572649,232.4209152944868,
1.626,,,175.5510138957286
1.642,836.6807197931425,232.42092234174592,
1.656,,,175.54697359933172
1.67,836.680704708075,232.42092812728512,
1.685,,,175.5508244681223
1.699,836.6806924237522,232.4209326497317,
1.713,,,175.54716758381306
1.727,836.6806829195408,232.42093596155044,
1.741,,,175.55065082871596
1.756,836.6806760608841,232.4209381564064,
1.77,,,175.54734087793065
1.818,836.6806716270415,232.42093935722428,
1.832,,,175.5504915204378
1.943,836.6806693371182,232.42093970531616,
1.957,,,175.54749563193818
2.068,836.6806688736124,232.42093935083193,
2.082,,,175.5503455237143
2.193,836.6806699029615,232.42093844468164,
2.209,,,175.54763404568112
2.318,836.6806720927956,232.420937131988,
2.333,,,175.55021207281135
2.443,836.6806751258036,232.42093554705053,
2.457,,,175.5477582028973
2.568,836.6806787102793,232.4209338097425,
2.584,,,175.55009050364598
2.693,836.6806825875416,232.42093202321672,
2.709,,,175.54786996849958
2.818,836.6806865365191,232.4209302727642,
2.833,,,175.54998015427608
2.943,836.6806903758534,232.42092862565102,
2.958,,,175.54797093942312
3.068,836.6806939639098,232.42092713175134,
3.083,,,175.54988031509663
3.193,836.680697197103,232.42092582479557,
3.209,,,175.54806243847602
3.319,861.9624409094909,230.0016108862944,
3.334,,,174.51137413668985
3.443,884.3284788141212,228.60152553354322,
3.458,,,173.36134803136835
3.568,905.5005952426752,227.61825221928524,
3.583,,,172.8609207375383
3.693,918.1286758524866,227.32511625559894,
3.708,,,172.54455013873616
3.818,928.0129085484441,227.32387456104365,
3.834,,,172.56183404189343
3.943,931.5616543863409,227.2464811586726,
3.958,,,172.51860871872938
4.068,931.3311490898228,227.33737053281263,
4.082,,,172.5463853030164
4.194,929.9099875425244,227.5821813677384,
4.209,,,172.67502376247077
4.318,926.8446817607313,227.96921603696032,
4.335,,,172.88809164834686
4.443,923.4470775438344,228.44087487513502,
4.458,,,173.15620115916516
4.568,919.8341951974181,228.8936970994067,
4.583,,,173.43049314110525
4.693,916.0482476567332,229.2775251185669,
4.709,,,173.66172791602528
4.818,912.1051839143369,229.5041337891845,
4.833,,,173.81856521731916
4.943,907.5008651536493,229.83092551944904,
4.958,,,173.98306424343994
5.068,902.9825497593082,230.2069385936873,
5.083,,,174.20924445719248
5.193,898.3067256310857,230.56270543943168,
5.208,,,174.41779270499012
5.318,893.3236231087456,230.65027551885072,
5.333,,,174.51299857727602
5.443,886.0581614460359,230.45750554716292,
5.458,,,174.4240500969129
5.568,878.8197306466236,230.194750530407,
5.585,,,174.2714946944643
5.693,871.6772116871838,229.99710921044618,
5.709,,,174.14330733171917
5.818,864.5061529688796,229.86665531874604,
5.833,,,174.06231733046437
5.943,855.096005364158,230.01221120701084,
5.958,,,174.1050814318606
6.068,847.30044993168,229.57210697524195,
6.083,,,173.95854600628175
6.193,837.675138751489,230.56336807506537,
6.208,,,174.26520267094776
6.318,828.4712161213778,232.18802920349538,
6.333,,,175.23918310353534
6.443,819.874598711389,234.1116450145418,
6.458,,,176.31162645030548
6.568,809.5082532439519,235.99883139023783,
6.582,,,177.45180568987612
6.693,799.9649749999362,237.4797090766301,
6.708,,,178.37055084437742
6.818,790.5389203174292,238.53247046905452,
6.833,,,179.03670952982378
6.943,781.514116873906,239.22958961340794,
6.957,,,179.48041664643304
7.068,769.9053396669384,238.93277391574966,
7.083,,,179.44965590328783
7.193,761.4287833091225,238.55263273684773,
7.194,,,179.17648716848694
7.318,751.6686646441674,238.26613858401612,
7.333,,,179.01627647174448
7.443,742.5339572370904,237.7775185984512,
7.458,,,178.7564855749077
7.568,730.6778542888554,237.4621375746134,
7.583,,,178.53341672038567
7.693,721.9394579523262,237.14343365094143,
7.708,,,178.36196035812358
7.818,708.2661524121052,234.71159022417606,
7.833,,,177.26203976603443
7.943,696.0227754882206,233.79918794451055,
7.958,,,176.34341667737647
8.068,685.005915908557,233.12873977676117,
8.083,,,176.07804658447768
8.193,675.4022874949281,232.3649778707969,
8.208,,,175.5869113728279
8.318,669.4431397045947,231.8141632964517,
8.333,,,175.25018964672833
8.443,658.1759420709105,230.89181080281975,
8.457,,,174.7709484962638
8.568,650.1267043913844,230.23935091601783,
8.582,,,174.3200391513214
8.693,,,173.85743447951947
8.708,640.4602424230594,229.33765472674241,
8.818,631.0663445968519,229.01246039725334,
8.833,,,173.54792702398015
8.943,619.7595504080253,226.40459427742454,
8.957,,,172.4270260372259
9.068,609.5788576312292,226.35999602130568,
9.082,,,171.81950517478268
9.193,596.965839658036,227.13718671539266,
9.207,,,172.39656955595495
9.318,585.2229441102796,227.9316541032359,
9.334,,,172.80778484837145
9.443,574.9010368206355,228.65574332642052,
9.458,,,173.26877193884343
9.568,,,173.54879574539302
9.582,564.9355733552765,229.07924042964922,
9.693,558.5884257304215,229.4763260330276,
9.707,,,173.77344883654268
9.818,544.9254525427075,228.9756614309617,
9.832,,,173.62430657537314
9.943,529.5664270326415,228.3743382346122,
9.957,,,173.22519155604687
10.068,517.05672528451,227.7936570031279,
10.082,,,172.90035303665525
10.193,504.65366221910165,225.38226486169975,
10.207,,,171.76686747941162
10.318,491.99072610809384,222.98636162085305,
10.333,,,170.23509242969712
10.443,479.6667177782299,221.74607808129318,
10.458,,,169.37854228565962
10.568,465.11609103970363,220.6619217829645,
10.582,,,168.77162193662684
10.693,451.99271018818246,219.5059903154254,
10.708,,,168.0918567246082
10.818,438.50772339937004,215.5605090349023,
10.833,,,166.21553854010313
10.943,421.6071721961104,211.4290267972948,
10.957,,,163.62885537621517
11.068,406.70310062448,207.96336567988234,
11.082,,,161.55771104173223
11.193,393.75241086337536,205.46657382623584,
11.207,,,159.9532528806562
11.318,382.2047719696003,202.91414413578627,
11.332,,,158.52304617554876
11.443,367.07479569188956,199.65703045287523,
11.457,,,156.6913258475518
11.568,353.4865720330257,197.77766436657214,
11.582,,,155.33547881375495
11.693,344.7261725232704,196.6599310944281,
11.707,,,154.6669908349092
11.818,330.58407543659274,193.06519568202967,
11.832,,,152.95266781507263
11.943,317.0228830630761,193.069115040445,
11.956,,,152.21482148669236
12.068,305.11656347502884,193.17944779690768,
12.081,,,152.5829291952839
12.193,294.0904922545704,192.27530579991023,
12.207,,,152.0795712205786
12.318,,,151.47484531481183
12.332,283.5114493875731,191.222018434046,
12.443,272.87969200896157,188.5394789344637,
12.456,,,164.56248054615966
12.568,265.47163804423184,188.99603265972596,
12.582,,,174.81104316960227
12.693,257.8294550722572,190.55230753235145,
12.708,,,176.7069919014428
12.818,251.17770010006626,193.23485135126592,
12.832,,,178.62595257378445
12.943,244.01134581016018,197.6381976859042,
12.958,,,174.29172312301125
13.068,239.40589555475975,202.80243468261233,
13.082,,,171.26076443723744
13.193,238.179833755348,208.42930788754597,
13.207,,,170.12410441499011
13.318,239.33380906561058,213.66178703306974,
13.332,,,170.626973710238
13.443,242.55150113379375,218.41340380035862,
13.456,,,172.24483742125113
13.568,245.856777795239,220.70566042219718,
13.582,,,174.30915965730094
13.693,249.12772003733113,222.18513173074496,
13.707,,,176.16325785430553
13.818,252.34272135960364,223.94026439504668,
13.831,,,178.107397482395
13.943,255.08303435163467,226.71131294012673,
13.957,,,179.67882021608395
14.068,257.02250970979327,230.9967682362788,
14.082,,,179.24418806488282
14.193,258.26299058092246,238.26493981517305,
14.207,,,178.08548667736892
14.319,259.09369274593735,246.78646135152272,
14.333,,,181.50208875826152
14.443,259.56832146020275,252.96954854772702,
14.457,,,183.0025926219315
14.568,260.0083621397642,262.96594311386,
14.581,,,118.44153464531088
14.693,259.05958205326,275.4742561661877,
14.707,,,81.61276645303089
14.818,258.0721526919605,287.0432263662431,
14.832,,,96.56915120217892
14.943,258.52205418531923,297.5804157853532,
14.956,,,89.96181748075684
15.068,256.3254306536758,312.28524491375435,
15.081,,,92.0223725813381
15.193,254.57730058867386,325.42233970730456,
15.206,,,89.70997451995997
15.318,252.90941853995588,337.17994855454634,
15.332,,,89.05870445809143
15.443,251.43346630152556,350.0505012839852,
15.456,,,88.01048185626121
15.568,250.1532198180498,363.62867336086526,
15.581,,,87.31542751973657
15.693,249.85198305465929,375.88156354375224,
15.706,,,86.95001254662647
15.819,249.83449906153788,387.2545854041836,
15.833,,,86.98509881893386
15.943,250.29390115761132,394.48516669891814,
15.957,,,87.15125853340989
16.068,250.90844507328623,404.72461369680804,
16.081,,,87.5406828377935
16.193,251.1266027137609,413.9286411753012,
16.206,,,87.71111113120311
16.318,250.35863011263436,425.02980756366054,
16.332,,,87.40537364845312
16.443,249.54075700220264,437.25323967664775,
16.456,,,86.8630357068639
16.568,248.74423869707425,448.12336934716524,
16.581,,,86.42570257036101
16.693,248.06087557613805,457.8943446824535,
16.706,,,85.98656026719962
16.818,247.56674819338522,466.93237939645473,
16.831,,,85.68926305198312
16.943,247.45713820570967,475.6380822725911,
16.956,,,85.56097102739973
17.068,248.12264634762997,486.2733667982038,
17.081,,,85.86275715431564
17.193,249.03486344483574,496.53322423579164,
17.206,,,86.39225231232861
17.319,249.9137339849109,505.7018857573802,
17.331,,,86.92159682324875
17.443,250.6487186542542,514.5976929281791,
17.456,,,87.36530875741389
17.568,251.025300799057,525.3224716588721,
17.581,,,87.6426501630927
17.693,,,87.71766157363464
17.706,251.12830264467092,535.5419313531138,
17.818,251.24627130639456,545.1735812931696,
17.83,,,87.78264193507324
17.943,251.1591418262105,554.8075808573398,
17.956,,,87.76166185156013
