timestamp,x,y,target_heading
0.114,,,172.07597470488898
0.147,909.0763079011969,226.50728259726898,
0.161,,,172.0756530424499
0.171,909.079021776297,226.50758406864162,
0.185,,,172.07638611404317
0.195,909.082088134952,226.50778791299874,
0.206,,,172.07599831752532
0.216,909.0853087586003,226.50790436479767,
0.227,,,172.07656874023462
0.236,909.0885172194835,226.5079453858983,
0.247,,,172.0761320465051
0.254,909.091579791379,226.50792382412985,
0.265,,,172.0765717061364
0.274,909.0943947971837,226.5078526970141,
0.285,,,172.0761108842363
0.295,909.0968907233332,226.5077446068191,
0.304,,,172.07645448150308
0.314,909.0990234195253,226.5076112863539,
0.324,,,172.0759948643521
0.334,909.1007726794186,226.50746326948297,
0.345,,,172.07627423256807
0.372,909.1021384670511,226.50730967621465,
0.4,,,172.0758371536726
0.422,909.1031370175498,226.50715809932,
0.439,,,172.07607794309968
0.454,909.1037970018243,226.50701457765544,
0.47,,,172.07567842376787
0.484,909.1041559055428,226.50688364055208,
0.499,,,172.07589883291803
0.514,909.1042567345281,226.50676840764484,
0.529,,,172.07554507914105
0.543,909.1041451231843,226.50667072918574,
0.558,,,172.0757561145457
0.572,909.103866890649,226.50659135305997,
0.587,,,172.0754502631151
0.602,909.1034660617388,226.50653010625754,
0.617,,,172.07565695831258
0.631,909.1029833467343,226.50648608030718,
0.645,,,172.0753965187728
0.66,909.1024550557476,226.50645781204204,
0.674,,,172.07559959649095
0.689,909.1019124096703,226.5064434529325,
0.703,,,172.0753791238706
0.717,909.1013812002311,226.50644092201534,
0.731,,,172.07557669819872
0.746,909.1008817460641,226.5064480391056,
0.761,,,172.07538935933633
0.782,909.1004290894047,226.5064626364543,
0.797,,,172.07557840917855
0.812,909.100033378534,226.50648264828436,
0.826,,,172.0754172396916
0.84,909.0997003838295,226.50650617868604,
0.854,,,172.07559471302667
0.869,909.0994320996934,226.50653154917686,
0.884,,,172.07545348000895
0.899,909.0992273902228,226.50655732784207,
0.914,,,172.0756169932136
0.928,909.0990826427756,226.50658234238162,
0.942,,,172.07549066837734
0.956,909.0989924001867,226.50660567962277,
0.971,,,172.07563883844634
0.985,909.0989499489484,226.50662667413667,
1.0,,,172.0755237440042
1.014,909.0989478469244,226.5066448885487,
1.029,,,172.075656233665
1.043,909.0989783799093,226.50666008798413,
1.058,,,172.07554995124838
1.072,909.0990339414319,226.50667221086744,
1.086,,,172.07566732230435
1.1,909.0991073345352,226.5066813380184,
1.115,,,172.07556845974045
1.129,909.0991919978258,226.50668766168573,
1.144,,,172.0756719255342
1.158,909.0992821608485,226.5066914558432,
1.172,,,172.07557982486966
1.187,909.0993729358677,226.50669304876413,
1.202,,,172.075670976122
1.217,909.0994603544573,226.5066927985971,
1.231,,,172.07558542619543
1.247,909.0995413580252,226.50669107239773,
1.262,,,172.0756659824164
1.277,909.0996137515803,226.50668822883813,
1.292,,,172.07558697661463
1.306,909.0996761298119,226.50668460461577,
1.321,,,172.07565859304506
1.336,909.0997277839739,226.50668050442272,
1.351,,,172.07558615196035
1.367,909.0997685972317,226.50667619421245,
1.382,,,172.07565029300522
1.396,909.0997989351448,226.50667189741174,
1.41,,,172.07558435510745
1.425,909.0998195368691,226.50666779366875,
1.439,,,172.07564223121534
1.453,909.099831411555,226.50666401970028,
1.467,,,172.07558260336353
1.482,,,172.07563515966646
1.496,909.0998357433301,226.5066606717959,
1.51,909.0998338072366,226.50665780955237,
1.525,,,172.07558151317176
1.54,909.09982689757,226.50665546044212,
1.555,,,172.07562945435382
1.57,909.0998162692604,226.50665362486097,
1.584,,,172.07558135048265
1.6,909.0998030922597,226.50665228134764,
1.616,,,172.0756251862072
1.631,909.0997884183545,226.50665139172116,
1.646,,,172.07558211625823
1.661,909.0997731594089,226.50665090593375,
1.675,,,172.07562221377347
1.69,909.09975807575,226.5066507664885,
1.705,,,172.07558364191837
1.721,909.0997437732262,226.50665091231863,
1.735,,,172.07562027598334
1.751,909.099730707387,226.50665128206796,
1.765,,,172.07558567682935
1.78,909.0997191932287,226.50665181674916,
1.795,,,172.07561907089388
1.809,909.0997094190163,226.50665246178747,
1.824,,,172.07558795739357
1.838,909.0997014628088,226.50665316848207,
1.852,,,172.07561831335624
1.867,909.0996953104606,226.50665389493565,
1.882,,,172.0755902537282
1.897,909.0996908740549,226.5066546065156,
1.912,,,172.07561777021454
1.927,909.0996880098982,226.50665527591792,
1.941,,,172.07559239471738
1.956,909.0996865354027,226.50665588290803,
1.971,,,172.07561727553355
1.987,909.0996862443523,226.50665641381173,
2.002,,,172.07559427521883
2.017,909.0996869202178,226.50665686082638,
2.032,,,172.07561673050841
2.142,909.0996883473363,226.5066572212164,
2.157,,,172.0755958505875
2.267,909.0996903198896,226.50665749644926,
2.283,,,172.07561609340394
2.392,909.0996926487308,226.50665769132047,
2.407,,,172.07559712379327
2.517,909.0996951661809,226.5066578131065,
2.532,,,172.07561536451533
2.642,909.0996977289906,226.5066578707764,
2.657,,,172.0755981296862
2.768,909.0997002196902,226.50665787428392,
2.783,,,172.07561457015336
2.892,909.0997025465867,226.50665783395513,
2.907,,,172.07559891980253
3.017,909.0997046426675,226.50665775997822,
3.032,,,172.07561374840708
3.142,909.0997064636695,226.50665766199822,
3.157,,,172.0755995498355
3.267,909.0997079855571,226.50665754881285,
3.283,,,172.07561293820768
3.392,909.0997092016295,226.5066574281634,
3.407,,,172.07560007074952
3.517,909.0997101194523,226.5066573066105,
3.532,,,172.0756121721863
3.642,909.0997107577779,226.5066571894843,
3.656,,,172.0756005236192
3.767,909.0997111435863,226.50665708089645,
3.782,,,172.07561147307155
3.892,909.0997113093498,226.50665698380124,
3.907,,,172.07560093768365
4.017,909.0997112905936,226.50665690009416,
4.033,,,172.07561085292787
4.142,909.0997111237986,226.5066568307363,
4.157,,,172.07560133079468
4.267,909.0997108446691,226.50665677589427,
4.282,,,172.07561031434884
4.392,909.0997104867689,226.50665673508684,
4.407,,,172.07560171136282
4.517,909.0997100805117,226.5066567073305,
4.533,,,172.07560985273534
4.642,909.0997096524803,226.5066566912785,
4.657,,,172.07560208098923
4.767,909.09970922504,226.50665668534808,
4.782,,,172.07560945892786
4.892,909.0997088162056,226.5066566878333,
4.907,,,172.07560243715147
5.018,909.0997084397188,226.50665669700123,
5.033,,,172.07560912166446
5.142,910.5383970304702,226.62107566470402,
5.158,,,172.12471359342436
5.267,,,172.13352835530875
5.283,910.564346048622,226.58127826416802,
5.392,,,172.22902644963935
5.407,911.5649559503779,226.85086324051952,
5.517,912.2340990959785,227.03125589946742,
5.533,,,172.37625907267338
5.642,912.3088994344515,227.0878101358121,
5.658,,,172.41105236440558
5.767,912.4871571061417,227.21438321253947,
5.782,,,172.47386650549163
5.892,912.3693785423181,227.26432188438315,
5.907,,,172.52006431519254
6.017,912.3437659186101,227.2519962117327,
6.033,,,172.51557265152937
6.142,912.3416712633317,227.23606371265205,
6.158,,,172.5054504387661
6.267,912.1889574391657,227.1479015681417,
6.283,,,172.46556797043957
6.392,911.9440811401338,226.94339185076007,
6.393,,,172.3585803179484
6.517,911.3620214761091,226.47286117824441,
6.532,,,172.11878450568912
6.642,910.8066089558399,226.14394422218638,
6.658,,,171.88734171196933
6.767,909.499826893305,225.95094048586168,
6.783,,,171.76920398101822
6.892,907.9881032412231,225.85702136739374,
6.908,,,171.70022829319473
7.018,904.7211256199702,225.55077601128966,
7.034,,,171.56010596478365
7.143,900.1658153639082,226.02596214976447,
7.159,,,171.69829634806175
7.267,894.9368355098862,226.8045138004415,
7.282,,,172.16864122279742
7.392,889.0971502293647,227.88217059590366,
7.408,,,172.74811852117023
7.517,880.4891364704754,229.97122557839515,
7.532,,,173.8386381599222
7.642,872.084665183487,231.93264533627152,
7.657,,,175.0690330700903
7.767,864.1956440375135,233.5123654748761,
7.782,,,176.0235204388342
7.892,856.6157198264731,234.6916192756197,
7.907,,,176.7676796019622
8.017,846.9389574542959,235.29597998960665,
8.033,,,177.19139180299248
8.142,837.7070986515702,235.1237181805795,
8.157,,,177.1832013457203
8.267,828.819247394067,234.46139780858445,
8.282,,,176.83176347045745
8.392,820.3525454285642,233.45834433505462,
8.407,,,176.28030664627104
8.517,810.2500769722634,232.56875687286734,
8.532,,,175.72379642652675
8.642,799.6419347805808,231.9728503944576,
8.657,,,175.34208175846163
8.767,788.9329316467532,231.14571589740143,
8.782,,,174.9065509017346
8.892,778.2902285133548,230.69993420832174,
8.907,,,174.56276590012945
9.017,764.469888325958,230.98977611581492,
9.032,,,174.65219994355473
9.142,751.7476942295324,231.36942530428144,
9.157,,,174.89560132489797
9.267,740.3782898916083,231.84450563167064,
9.282,,,175.15079294331832
9.392,730.2298080217606,232.38310325646415,
9.408,,,175.46728486917084
9.517,716.8148304035676,232.10035094244378,
9.532,,,175.43098968793166
9.642,704.0551945583419,231.5204366624913,
9.657,,,175.08137199972205
9.767,691.6486530463193,231.1970085375848,
9.782,,,174.85500655709367
9.892,680.307298700738,230.8555265031221,
9.907,,,174.67281450831064
10.017,665.6926963887748,230.82236135870565,
10.033,,,174.5968329194241
10.143,655.9064832718442,230.8218404226976,
10.157,,,174.61563922149088
10.267,647.8408419339473,228.42904831277568,
10.282,,,173.58029577083306
10.392,632.6859573409646,228.8108242018193,
10.407,,,173.20632238233662
10.517,616.0807273016181,229.13024973555983,
10.532,,,173.6624981497197
10.642,,,173.6879283821738
10.657,601.1891931915031,229.3453513688798,
10.768,587.5962646079585,228.99833138469972,
10.783,,,173.61833804364892
10.892,574.8022230339047,228.4553959950363,
10.907,,,173.2706504088854
11.017,559.1938355545,227.83073269804015,
11.032,,,172.93114799845796
11.142,545.5973498480748,227.4294199071455,
11.157,,,172.64642522294685
11.267,533.4794555791095,227.03347583119648,
11.281,,,172.43608439126984
11.392,522.4104055858201,226.38495681475328,
11.407,,,172.08371312397253
11.517,507.91439625514965,225.68480049307271,
11.532,,,171.67018208240134
11.642,495.22441031782733,225.19207262717603,
11.658,,,171.34738085647473
11.767,484.00083975972177,224.7778008346142,
11.782,,,171.10767955766656
11.892,475.08623293331027,224.30247748852477,
11.907,,,170.83509319741154
12.017,464.2372074703663,223.39195348063714,
12.032,,,170.36777880576705
12.142,454.33537302528043,222.06117664640198,
12.158,,,169.62219042605182
12.267,444.8208421219063,220.5014519270342,
12.281,,,168.7282753321084
12.392,435.684912747434,219.02921545377544,
12.406,,,167.83901703332995
12.517,427.05305870278386,217.6240223236787,
12.531,,,167.01505986009897
12.642,416.64946180272733,216.19740023236344,
12.657,,,166.17883883483114
12.767,406.43902837207867,214.77453136335924,
12.782,,,165.34308888627305
12.892,396.0439243856084,213.79378951516765,
12.907,,,164.6961878635277
13.017,381.7268915551799,213.86106145086453,
13.031,,,164.6016974457451
13.142,371.2751513773136,214.0882524978265,
13.156,,,164.7665764611441
13.267,358.4222677861361,214.69456492595194,
13.281,,,165.04998616183497
13.392,343.7053283782149,215.09440604620707,
13.406,,,165.34806114904893
13.517,333.2025198254549,215.51760940943942,
13.531,,,165.56619757071047
13.642,320.00980366111474,215.9685934134676,
13.656,,,165.83932260749955
13.767,307.87401826485086,216.37566939431835,
13.781,,,166.08215037342552
13.892,296.55696422573146,216.74311613964554,
13.907,,,166.30223101873938
14.017,285.88600103725537,217.37235146004954,
14.031,,,166.62888377663805
14.142,272.7583508454791,217.9397742185444,
14.156,,,168.83652844968017
14.267,260.88180087056253,218.61721821056105,
14.281,,,174.98544977927205
14.392,250.20515962776173,219.78209329747358,
14.407,,,177.6844540992842
14.517,240.5759322565736,221.84311482848568,
14.532,,,172.83377323841884
14.643,231.54198118306056,225.40290413673597,
14.656,,,167.0903771091776
14.767,226.07314168777773,229.6173452989142,
14.782,,,163.50221751432255
14.892,223.50885824166315,233.9043588156197,
14.906,,,161.70072243377166
15.017,224.10478312789627,237.68684122630225,
15.031,,,161.67709098090907
15.142,228.2735875805156,239.55453503774342,
15.156,,,163.72295241325673
15.267,233.2817544652828,240.34220706822592,
15.281,,,184.85875447215514
15.392,238.7453397303842,240.9108498563281,
15.406,,,193.792036878584
15.517,244.38794680518984,243.0856635894782,
15.531,,,185.3033805338733
15.642,249.5609164417782,246.3916063538688,
15.656,,,184.4083562876907
15.767,253.95875612059146,250.54026233305981,
15.781,,,180.78544316568141
15.892,258.0877917275657,256.2022573331818,
15.906,,,181.41411828831022
16.017,261.1601190498501,263.3947383903475,
16.031,,,119.01968143373888
16.142,262.94867186579074,273.66266854830286,
16.156,,,83.49825082371206
16.267,263.7303177655319,283.7279891904176,
16.281,,,99.79211277380556
16.392,263.14041072979427,292.9510329772762,
16.406,,,92.87370712757098
16.517,261.7129965447861,305.5800811585134,
16.531,,,94.98598437214855
16.642,259.708749227769,318.2284622188319,
16.656,,,92.63361673425229
16.767,257.59002273101686,330.7650884902512,
16.781,,,91.91271201137326
16.892,255.42188773881642,342.80500712684926,
16.905,,,90.42134523342644
17.017,253.59657598195432,354.56307970263066,
17.032,,,89.40555528371746
17.143,252.94835091621272,368.4903584518956,
17.157,,,88.79880581539504
17.267,250.3509289731357,383.28534582528584,
17.281,,,87.67862146191311
17.392,248.37320995113387,397.37052401502586,
17.405,,,86.24434988910421
17.517,247.13832656884398,412.66068892794596,
17.531,,,85.52002928890825
17.642,246.43831652297808,424.09563931113973,
17.655,,,85.0230097873063
17.767,245.50928714523727,438.389631207296,
17.781,,,84.55161992642252
17.892,244.60855505497847,451.01309522003703,
17.905,,,83.98511641702873
18.017,244.1036949429429,460.86069123159217,
18.03,,,83.6433236912752
18.142,243.2274935651032,472.6402887972846,
18.155,,,83.20590632123498
18.267,242.42413234854612,487.3912694693749,
18.28,,,82.69025131969207
18.392,242.03024327041018,500.8429737318059,
18.406,,,82.4123444311439
18.517,242.17630816848984,517.664848314623,
18.53,,,82.43356186523349
18.642,242.68391672416175,532.9208840365803,
18.655,,,82.70167258493355
18.767,243.14980264234373,546.8507881679915,
18.78,,,82.99539856764318
18.892,243.29568282207902,563.8188983725964,
18.905,,,83.12237390947756
19.017,243.43301922976008,578.6684773402033,
19.031,,,83.18715011982397
19.142,243.4715213515947,592.1297265223358,
19.155,,,83.2317362254741
19.267,243.5447599309325,605.3360884115563,
19.28,,,83.26022346674874
19.392,243.86550743613103,617.6725633666822,
19.406,,,83.41534697321424
19.517,244.34134878428773,633.0439397301463,
19.531,,,83.68498255643765
19.642,244.7588930997907,647.3297026419233,
19.655,,,83.94326722069499
19.767,247.01120985512324,658.0299217227537,
19.78,,,84.97071081827048
19.892,247.35482396088943,671.3343077956195,
19.905,,,85.60133845034292
20.018,248.15868068566914,687.1573711021036,
20.031,,,85.8154422271129
20.142,248.7748747020069,700.6348072485317,
20.155,,,86.31915284215005
20.267,249.19319227008276,709.2462978547076,
20.28,,,86.5337012902731
20.392,249.9749527204447,720.4980178604943,
20.406,,,86.95014739622275
20.517,252.41731228515127,731.8163372499071,
20.529,,,88.13910984870509
20.642,255.05124367047063,742.8852927066115,
20.659,,,89.77235122635335
20.767,258.0349879537112,750.5933712786644,
20.78,,,91.42149400729342
20.892,261.2526726675081,754.7988131313134,
20.905,,,93.31932768010222
21.017,265.2450080800777,755.2567202576209,
21.03,,,95.53726077118735
21.142,268.8376737080343,753.3227390374004,
21.155,,,97.76572625363477
21.267,272.16574586615366,749.30195892213,
21.28,,,99.7100281938375
21.392,275.4528381459425,744.0368794335658,
21.405,,,101.65237246580293
21.517,278.9539387386259,738.5484617718589,
21.53,,,103.66857149661257
21.642,283.3778723660544,733.7137829963297,
21.656,,,106.13897723429672
21.767,291.19166505565727,730.6597773057928,
21.78,,,110.24621822784964
21.892,299.6914046115496,728.3952420308675,
21.904,,,115.33811475968089
22.017,308.7019660572313,727.072251179218,
22.03,,,55.88644235023539
22.143,319.2356803812752,728.671428074697,
22.157,,,19.77001225803631
22.267,330.6200389593965,728.463642492148,
22.281,,,34.67628900862874
22.392,338.7510186303247,728.5689418180175,
22.406,,,28.33449784036819
22.517,354.46139966558854,733.6457444452534,
22.53,,,28.823708132244274
22.642,367.2150092068138,734.7132520575718,
22.655,,,26.079423224954617
22.767,383.0348007830659,735.8289757835204,
22.781,,,26.337513496415305
22.892,398.15452417176823,736.8399256004902,
22.905,,,25.33742970328782
23.017,413.3940944679459,737.9554155423867,
23.03,,,24.87151612745485
23.142,431.80949287725844,738.9431352143224,
23.156,,,24.191535326434682
23.267,448.63029984804996,739.8271757083913,
23.28,,,23.697545638184987
23.392,463.34677897503997,740.8480755067042,
23.405,,,23.11005476294761
23.517,478.8251426618126,744.3327455570718,
23.53,,,21.446596785094414
23.642,493.8057794698653,743.8192967873719,
23.655,,,20.95203365105928
23.767,507.93698238627417,743.8436282882092,
23.78,,,21.365828046031066
23.892,521.3536549064349,744.0619986581527,
23.906,,,21.08273168441622
24.017,538.1417220915705,744.3945254227166,
24.031,,,20.973718253269894
24.142,552.8302325998675,744.6360871303547,
24.155,,,20.77867301127362
24.267,566.6307107551296,744.7732639501169,
24.28,,,20.706185834828855
24.392,579.5321414185623,744.5811470781904,
24.405,,,20.76185769553736
24.517,587.4449828768359,744.3758915817652,
24.53,,,20.906540275752608
24.642,591.4287147169431,744.1668850437883,
24.656,,,21.01671614352321
24.767,592.4195395980231,743.9622259228763,
24.78,,,21.14453649460753
24.892,600.7298612326176,743.2390185499954,
24.905,,,21.482551078540222
25.017,621.5703645300481,743.4896023763085,
25.03,,,21.528123689294787
25.142,643.318210022679,744.0743340830969,
25.155,,,21.15290112734623
25.267,662.6572796490816,744.6072394291016,
25.28,,,20.84715853974713
25.392,679.4627657836556,745.1276062757429,
25.406,,,20.534812951273647
25.517,695.7911572162499,745.636725177155,
25.531,,,20.23851985227273
25.642,714.2809132212438,746.5931356017788,
25.655,,,19.74487105984598
25.767,730.9888892542073,747.4975136477501,
25.782,,,19.177586758865615
25.892,745.6295390641512,748.6401348074351,
25.906,,,18.55856276500238
26.017,760.5042086988517,749.8943680103804,
26.031,,,17.81829249045608
26.142,774.0984826686608,751.4217654934606,
26.156,,,16.96506004469472
26.267,789.3174480501801,753.1044390917251,
26.281,,,15.9834345397804
26.392,803.8317527022232,755.0199687915684,
26.406,,,14.891633207041533
26.517,815.0990456119335,756.6032105412175,
26.531,,,13.895774247643605
26.642,828.9191921548407,757.9877506395399,
26.656,,,13.079068727385947
26.767,841.3356699695067,758.940914559036,
26.781,,,12.453207996180037
26.892,856.2435129570958,760.5798590372613,
26.906,,,11.627075602586128
27.017,869.7686167958146,760.3623970598765,
27.031,,,11.402893011728489
27.142,881.3843545066072,760.7422970556131,
27.156,,,11.425910676631686
27.267,891.5624203503419,761.134661363264,
27.282,,,11.090836110121185
27.392,900.6216859135351,761.3681135045332,
27.407,,,10.974536760172658
27.517,909.5120042554593,761.5631782137066,
27.533,,,10.84405094613339
27.642,916.7152462897401,761.5838589592198,
27.657,,,10.812085089288809
27.767,924.8278378992346,761.7557483919495,
27.782,,,11.570239375803972
27.892,931.2188759377646,761.5623167359972,
27.907,,,9.223291702475407
28.017,938.0482373160744,759.4465034673323,
28.032,,,-59.612023254527486
28.142,941.9719188701412,757.6917684883538,
28.157,,,-98.87445696639897
28.267,945.8903649230022,753.2077061338123,
28.282,,,-85.38154109203047
28.392,948.0009579108779,747.8678208024298,
28.407,,,-93.6336605577017
28.517,947.4694865082652,741.2551301290728,
28.531,,,-90.73197492677014
28.642,946.0696024384384,736.2123234430629,
28.657,,,-91.1573542800341
28.767,943.4859669966195,732.1560140730129,
28.782,,,-89.28359570199017
28.892,940.9552872619724,729.3004183305468,
28.907,,,-87.9496639719381
29.017,938.7474904082162,727.3307273135783,
29.031,,,-86.53734771887488
29.142,937.3690551022119,725.1695033101081,
29.156,,,-85.64591648251208
29.267,936.1465631245798,723.9400195164148,
29.281,,,-84.9391987109972
29.392,935.4730037284605,720.1851119134284,
29.406,,,-84.45138562217187
29.517,934.0436948316243,715.2237333481505,
29.532,,,-83.7718611928263
29.642,933.2287540256683,705.8969341622462,
29.657,,,-83.12642267537466
29.767,931.8294449131641,697.8537713533916,
29.782,,,-82.46994467595772
29.892,931.2687297056492,686.7673415106,
29.907,,,-81.9356003975068
30.017,930.5801257386687,674.8780100029414,
30.034,,,-81.64125382740556
30.142,930.7728688891324,662.3459148161704,
30.156,,,-81.56604146637352
30.267,930.8955026782291,650.2392522919212,
30.282,,,-81.73214500843108
30.392,931.0498737428567,637.1485732192169,
30.406,,,-81.77528783000251
30.517,930.8885778907402,621.7082305146681,
30.531,,,-81.75290855987376
30.642,930.6119399477799,607.3201375104883,
30.657,,,-81.5755340534452
30.767,930.6177999048258,597.4430958770026,
30.781,,,-81.54268985068664
30.892,929.8214880550247,583.8456737860682,
30.907,,,-81.21562860834197
31.017,928.1271940904717,566.204189497713,
31.031,,,-80.3035617212616
31.142,926.5429567699233,549.8002956497795,
31.157,,,-79.31857355892652
31.267,925.2102886508734,534.8043167871724,
31.282,,,-78.5211719198483
31.392,924.1903703926359,521.3805631579372,
31.407,,,-77.87766219681083
31.517,923.4052400025267,505.0585179785091,
31.518,,,-77.40003981269518
31.642,922.8038414699275,489.95640660204145,
31.657,,,-77.02357987275352
31.767,922.2075043949234,475.98283330189844,
31.782,,,-76.68387042039447
31.892,921.3428544132566,463.2282661182638,
31.906,,,-76.21271565354363
32.017,919.9848179918805,447.8141479010899,
32.033,,,-75.47852835740859
32.142,918.8482583037376,433.63919827651983,
32.156,,,-74.74762442958169
32.267,917.7655915244302,420.4901763873151,
32.282,,,-74.13176113995648
32.393,916.6738729264804,408.0990535790076,
32.408,,,-73.48227312933678
32.517,915.2335313238488,392.9604871683579,
32.533,,,-72.69621745570561
32.642,914.3453596790634,379.2975255810399,
32.658,,,-72.0604306115901
32.767,914.1108954864026,366.6242448535098,
32.782,,,-71.8698031021368
32.892,914.300571605124,354.4587716425152,
32.908,,,-71.93576065643758
33.017,915.0066410488025,339.1221242938987,
33.032,,,-72.28950088914672
33.142,915.8992025283245,325.6223215352865,
33.157,,,-72.80939434907623
33.267,916.7759965058345,313.3633932619081,
33.282,,,-73.32961784213447
33.392,917.6066936355738,301.8899683778776,
33.408,,,-73.8215593241061
33.517,917.8202778137759,286.7038434034118,
33.533,,,-74.04364382107005
33.642,917.8287948461415,273.16853370633424,
33.657,,,-74.03852642264178
33.767,918.0225310931047,261.24856061982393,
33.782,,,116.26986074095247
33.892,917.9822502321695,253.7921157130757,
33.908,,,221.93709036452884
34.017,918.6089273989096,243.69068358736638,
34.033,,,169.261166955028
34.142,919.6135660830724,232.96332048063636,
34.157,,,183.02346692226897
34.267,920.1808223711411,224.55244051931348,
34.282,,,169.18554372737748
34.392,920.3171179362159,218.35759631624998,
34.407,,,169.0164675873005
34.517,920.0209985913964,213.0997787574219,
34.532,,,164.2894084805779
